"AgeRange","AvatarId","FacebookUid","FastestResponse","Gender","HighScore","LifetimeScore","Locale","Recordings","UserId"
"04/28/1975","1080","526355364","138","female","13860","13860","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","34"
"02/18/1970","1080","718953416","96","female","0","9760","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","35"
"05/26/1964","1080","546404733","","","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","36"
"11/12/1963","1080","1074541453","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","37"
"06/21/1948","1080","1091543140","0","male","15130","90698","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","38"
"06/25/1963","1080","1137523322","200","female","12056","12056","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","39"
"08/28/1960","1080","1067395410","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","40"
"12/03/1987","1080","120400212","0","male","16566","41940","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","41"
"06/21/1966","1080","525441498","0","male","17528","28612","Saint Albert, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","42"
"10/23/1982","1080","1660077823","0","male","8830","8830","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","43"
"11/17/1963","1080","1130564914","0","male","16738","49940","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","44"
"06/24/1958","1080","100000102424972","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","45"
"","1080","100000515712269","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","46"
"11/09/1982","1080","641333862","0","male","17780","81126","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","47"
"06/11/1985","1080","100002483782414","0","female","11936","11936","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","48"
"06/29/1970","1080","597276359","0","male","8592","10166","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","49"
"09/16/1975","1080","588421072","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","50"
"12/14/1966","1080","653761033","384","male","15174","15174","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","51"
"01/01/1962","1080","673386997","0","male","14606","27354","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","52"
"08/15/1986","1080","632566118","212","male","15746","30422","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","53"
"12/23/1989","1080","689886981","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","54"
"09/29/1991","1080","638065543","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","55"
"12/21/1993","1080","590221050","0","male","10570","10570","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","56"
"04/29/1981","1080","120408578","0","female","16494","27762","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","57"
"","1080","720932162","0","female","13068","22854","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","58"
"","1080","633091065","102","male","18072","47850","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","59"
"","1080","527815383","56","male","11556","11556","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","60"
"","1080","504636470","","female","0","0","Fort McMurray, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","61"
"","1080","729541245","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","62"
"","1080","513811612","0","male","17698","173466","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","63"
"09/06/1962","1080","659036004","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","64"
"","1080","100000535145468","","male","0","0","Leduc, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","65"
"","1080","100000662420319","0","female","9152","9152","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","66"
"","1080","695516651","0","female","16092","100802","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","67"
"","1080","668584595","0","female","8152","14336","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","68"
"","1080","504578696","0","male","11546","21862","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","69"
"","1080","515434617","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","70"
"","1080","792301357","0","male","18108","67714","Vermilion, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","71"
"","1080","902345152","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","72"
"03/28/1955","1080","592013886","0","","18174","124534","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","73"
"05/01/1984","1080","734517106","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","74"
"09/16/1977","1080","589631758","","female","0","0","Morinville, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","75"
"","1080","811495251","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","76"
"","1080","527360789","","male","0","0","Leduc, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","77"
"","1080","569627046","86","male","10850","10850","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","78"
"09/05/1969","1080","531527834","200","female","14362","36330","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","79"
"","1080","751475270","","female","0","0","Lloydminster, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","80"
"","1080","589678759","0","female","17636","133454","Bon Accord, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","81"
"06/14/1973","1080","581353295","0","female","16446","87738","Redwater, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","82"
"","1080","1061967522","0","male","15968","49732","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","83"
"","1080","1565677810","0","female","11438","24724","Edson, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","84"
"","1080","543476544","0","female","13744","24828","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","85"
"03/04/1971","1080","556698923","0","female","18488","312140","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","86"
"","1080","527881154","394","male","12344","12344","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","87"
"","1080","1231295627","166","female","11418","11418","Sherwood Park, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","88"
"","1080","669786627","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","89"
"","1080","556171993","","female","0","0","Edgerton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","90"
"","1080","562411204","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","91"
"10/17/1965","1080","100000271993749","0","male","18752","176948","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","92"
"","1080","640931255","0","female","11490","26194","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","93"
"","1080","708026252","894","male","18696","53230","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","94"
"","1080","764230084","0","male","15220","36624","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","95"
"","1080","100000272928459","0","male","6998","13294","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","96"
"","1080","100004022168381","","male","0","0","Saint Albert, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","97"
"10/07/1984","1080","649710385","0","female","14236","30198","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","98"
"","1080","1287366639","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","99"
"10/05/1976","1080","815320709","","","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","100"
"08/22/1972","1080","571564808","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","101"
"02/07/1961","1080","1174338884","","female","0","0","Leduc, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","102"
"09/08/1962","1080","1731859996","0","male","9708","18764","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","103"
"","1080","744215490","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","104"
"","1080","1534140379","","female","0","0","Camrose, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","105"
"05/13/1979","1080","680500836","","male","0","0","Maidstone, Saskatchewan","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","106"
"","1080","716075254","0","female","16756","20140","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","107"
"","1080","700023965","0","female","8632","8632","Spruce Grove, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","108"
"","1080","100002887519996","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","109"
"10/06/1975","1080","590831496","0","male","18556","156522","Devon, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","110"
"","1080","642780402","","female","0","0","Fort Saskatchewan, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","111"
"07/07/1980","1080","1207204109","0","male","17770","58794","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","112"
"12/03/1981","1080","589121787","192","female","13710","13710","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","113"
"10/23/1979","1080","563271289","616","male","13964","13964","Claresholm, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","114"
"","1080","730461627","0","female","13998","13998","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","115"
"","1080","524613687","0","female","11854","21052","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","116"
"","1080","549717135","0","female","17800","104800","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","117"
"","1080","508595594","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","118"
"01/10/1970","1080","574417477","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","119"
"12/02/1973","1080","679050754","0","female","17336","107862","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","120"
"08/07/1954","1080","100000402904643","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","121"
"11/02/1986","1080","519275634","","male","0","0","Brisbane, Queensland, Australia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","122"
"09/03/1964","1080","613482552","0","male","12418","12418","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","123"
"","1080","634251953","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","124"
"10/10/1985","1080","657445589","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","125"
"","1080","1490247024","0","male","18418","44600","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","126"
"10/14/1964","1080","824680037","64","male","15032","28512","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","127"
"03/23/1992","1080","100001292785219","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","128"
"","1080","100001418659548","0","female","14662","83470","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","129"
"","1080","706345452","","female","0","0","Castor, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","130"
"","1080","512514799","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","131"
"10/28/1994","1080","100003408661610","0","male","16828","53928","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","132"
"02/13/1965","1080","580552920","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","133"
"","1080","100002629676267","0","male","5476","5476","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","134"
"01/06/1972","1080","741550931","330","female","17480","29728","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","135"
"","1080","1249147292","0","male","9034","9034","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","136"
"","1080","547396814","0","female","17446","348940","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","137"
"12/02/1970","1080","572326781","480","female","14752","14752","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","138"
"05/28/1976","1080","563136641","0","female","17518","28908","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","139"
"06/07/1969","1080","100000488302644","0","male","12598","19290","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","140"
"12/10/1946","1080","712161835","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","141"
"10/14/1961","1080","572726245","916","male","16770","32208","Sherwood Park, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","142"
"","1080","120406900","0","male","19199","163109","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","143"
"","1080","1111178162","0","female","0","4634","Myrnam, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","144"
"","1080","793185453","0","female","15730","39186","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","145"
"","1080","825600646","0","male","17184","38238","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","146"
"","1080","532331076","0","male","17790","83500","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","147"
"","1080","535670020","0","female","14296","43254","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","148"
"","1080","791417611","0","male","13940","24922","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","149"
"","1080","720785522","0","male","0","786","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","150"
"","1080","1428022222","0","female","18273","81760","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","151"
"","1080","904925382","0","male","13530","19038","Beaumont, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","152"
"","1080","688740852","602","male","13844","13844","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","153"
"","1080","641360143","0","female","17591","91085","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","154"
"","1080","100000798200189","0","male","16898","60014","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","155"
"","1080","554226869","0","male","11974","47948","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","156"
"","1080","506246422","4","male","18798","150634","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","157"
"","1080","648926424","0","female","15224","72120","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","158"
"","1080","593732186","56","male","18010","181828","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","159"
"","1080","846000579","0","female","14272","26778","Sherwood Park, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","160"
"","1080","730240180","78","male","11910","11910","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","161"
"","1080","507355690","266","female","15852","27834","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","162"
"","1080","520901279","0","male","9940","41026","Clearwater, Florida","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","163"
"","1080","895600471","0","female","11992","11992","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","164"
"12/13/1990","1080","893035270","0","female","14080","24632","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","165"
"12/14/1978","1080","100000834683314","","male","0","0","Los Angeles, California","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","166"
"","1080","898695580","","female","0","0","Lethbridge, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","167"
"04/03/1990","1080","636775709","0","female","12840","12840","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","168"
"10/05/1980","1080","747741356","0","male","17128","172170","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","169"
"12/27/1946","1080","100000772675634","0","male","11246","21800","Camrose, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","170"
"03/17/1947","1080","835860503","558","male","14302","14302","Toronto, Ontario","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","171"
"06/23/1975","1080","604370355","1294","female","0","2990","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","172"
"09/04/1966","1080","804849127","0","male","18072","175522","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","173"
"09/01/1983","1080","693154549","42","female","14736","39006","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","174"
"07/07/1953","1080","100002049475961","320","male","0","12728","Sherwood Park, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","175"
"","1080","1382191024","0","","10470","13350","Saint Albert, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","176"
"12/20/1960","1080","703971392","0","female","18084","52516","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","177"
"10/14/1905","1080","722486073","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","178"
"02/10/1970","1080","100001495154732","0","male","7704","7704","Toronto, Ontario","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","179"
"09/07/1952","1080","556592174","600","male","0","2308","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","180"
"12/11/1971","1080","100001398236256","582","male","18060","63612","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","181"
"01/09/1989","1080","610866006","0","male","18262","151170","Vernon, British Columbia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","182"
"06/06/1962","1080","644956223","","male","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","183"
"06/19/1986","1080","660170528","38","female","12474","12474","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","184"
"11/06/1961","1080","665055825","0","","11100","11100","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","185"
"06/23/1948","1080","100003561561911","0","male","14666","59498","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","186"
"09/09/1982","1080","520111250","0","male","12118","12118","Vancouver, British Columbia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","187"
"05/18/1988","1080","120407989","0","male","13500","38082","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","188"
"12/25/1980","1080","508413629","0","male","18536","47432","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","189"
"","1080","100000522758458","","male","0","0","Sherwood Park, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","190"
"05/18/1975","1080","605472049","84","female","15932","42622","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","191"
"09/08/1980","1080","511007016","0","female","12078","12078","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","192"
"12/27/1957","1080","781990363","0","female","15854","37238","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","193"
"10/25/1984","1080","514749825","96","female","18522","93128","Lethbridge, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","194"
"06/27/1982","1080","505540367","0","male","9724","9724","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","195"
"06/04/1954","1080","569710358","","male","0","0","Vancouver, British Columbia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","196"
"11/24/1979","1080","513902048","0","male","17092","26916","Toronto, Ontario","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","197"
"11/17/1959","1080","100000957146481","0","male","0","4978","Campbell River, British Columbia","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","198"
"08/14/1987","1080","627638435","402","male","13844","13844","Montreal, Quebec","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","199"
"","1080","520055745","0","male","11918","11918","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","200"
"08/21/1948","1080","679211735","","male","0","0","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","201"
"11/24/1991","1080","737651396","","female","0","0","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","202"
"04/13/1981","1080","839149908","804","male","14536","19010","Calgary, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","203"
"09/08/1990","1080","1635300011","56","male","19046","78958","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","204"
"12/10/1976","1080","100003183259019","680","male","14080","14080","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","205"
"08/30/1964","1080","100002921626346","","female","0","0","Saint Albert, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","206"
"","1080","551405943","478","male","16002","58562","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","207"
"08/17/1972","1080","541575655","0","male","12050","12050","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","208"
"08/24/1989","1080","512077838","420","male","18096","32032","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","209"
"07/18/1970","1080","582941393","48","female","15560","44100","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","210"
"","1080","100002947635790","0","male","16816","43742","Edmonton, Alberta","System.Collections.Generic.HashSet`1[Ots.Game.Data.Recording]","211"
